date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,cumulative_confirmed_for_each_Location,precentage_of_recovered_per_day,precentage_of_tested_per_day,precentage_of_deceased_per_day,precentage_of_confirmed_per_day,precentage_of_death_from_confirmed,recovery-rate,case_to_recovery_ratio
2020-09-07,Pe_Ama_0308,1.0,0.0,,,1.0,0.0,87779.05924540068,2406760.221967655,1.0,,,,1.0,0.0,87779.05924540068,1.1392238748017757e-05
2020-09-08,Kr_50,2.0,,,,76.0,764.974429562179,87779.05924540068,2406760.221967655,76.0,,,,0.02631578947368421,10.065453020554987,1154.987621650009,0.0008658101448493495
2020-09-09,Kr_47,3.0,0.0,,,1478.0,50.0,87779.05924540068,2406760.221967655,1478.0,,,0.0,0.0020297699594046007,0.03382949932341001,59.390432507037,0.016837728869570245
2020-09-09,Kr_11,48.0,0.0,,,4520.0,10.0,87779.05924540068,2406760.221967655,4520.0,,,0.0,0.010619469026548672,0.0022123893805309734,19.420145850752363,0.05149291914104026
2020-09-09,Kr_26,1.0,0.0,,,336.0,3.0,87779.05924540068,2406760.221967655,336.0,,,0.0,0.002976190476190476,0.008928571428571428,261.2472001351211,0.0038277922193339664
2020-09-09,Kr_27,1.0,0.0,,,7104.0,162.0,87779.05924540068,2406760.221967655,7104.0,,,0.0,0.00014076576576576576,0.022804054054054054,12.356286492877349,0.08093046406591814
2020-09-09,Kr_28,5.0,0.0,,,806.0,2.0,87779.05924540068,2406760.221967655,806.0,,,0.0,0.00620347394540943,0.0024813895781637717,108.90702139627876,0.009182144430902312
2020-09-09,Kr_29,5.0,0.0,,,465.0,2.0,87779.05924540068,2406760.221967655,465.0,,,0.0,0.010752688172043012,0.004301075268817204,188.77217042021653,0.005297391017828257
2020-09-09,Kr_48,1.0,,,,259.0,764.974429562179,87779.05924540068,2406760.221967655,259.0,,,,0.003861003861003861,2.953569226108799,338.9152866617787,0.002950589835736599
2020-09-09,Kr_30,11.0,0.0,,,329.0,2.0,87779.05924540068,2406760.221967655,329.0,,,0.0,0.03343465045592705,0.0060790273556231,266.8056512018258,0.003748046548097842
2020-09-09,Kr_41,50.0,0.0,,,3788.0,29.0,87779.05924540068,2406760.221967655,3788.0,,,0.0,0.013199577613516367,0.007655755015839493,23.172930107022356,0.043153800377491267
2020-09-09,Kr_42,2.0,0.0,,,211.0,3.0,87779.05924540068,2406760.221967655,211.0,,,0.0,0.009478672985781991,0.014218009478672985,416.01449879336815,0.0024037623758317466
2020-09-09,Kr_45,1.0,,,,96.0,764.974429562179,87779.05924540068,2406760.221967655,96.0,,,,0.010416666666666666,7.968483641272698,914.3652004729238,0.0010936549198097046
2020-09-09,Kr_46,2.0,,,,166.0,764.974429562179,87779.05924540068,2406760.221967655,166.0,,,,0.012048192771084338,4.608279696157705,528.7895135265102,0.0018911116321709478
2020-09-09,Kr_43,3.0,,,,149.0,764.974429562179,87779.05924540068,2406760.221967655,149.0,,,,0.020134228187919462,5.134056574242813,589.1212029892663,0.0016974435734546458
2020-09-09,Kr_49,2.0,,,,51.0,764.974429562179,87779.05924540068,2406760.221967655,51.0,,,,0.0392156862745098,14.999498618866255,1721.1580244196211,0.0005810041761489056
2020-09-09,Kr_31,4.0,0.0,,,125.0,1.0,87779.05924540068,2406760.221967655,125.0,,,0.0,0.032,0.008,702.2324739632055,0.0014240298435022197
2020-09-09,Kr_44,12.0,,,,390.0,764.974429562179,87779.05924540068,2406760.221967655,390.0,,,,0.03076923076923077,1.9614728963132795,225.07451088564278,0.004442973111726925
2020-09-24,Ly_Ba,0.0,0.0,0.0,,962.0,26.0,541.0,2406760.221967655,962.0,0.0,,0.0,0.0,0.02702702702702703,0.5623700623700624,1.77818853974122
2020-09-24,Ly_Zl,4.0,0.0,1.0,,255.0,2.0,180.0,2406760.221967655,255.0,0.005555555555555556,,0.0,0.01568627450980392,0.00784313725490196,0.7058823529411765,1.4166666666666667
2020-09-24,Ly_Za,31.0,0.0,5.0,,759.0,13.0,361.0,2406760.221967655,759.0,0.013850415512465374,,0.0,0.04084321475625823,0.017127799736495388,0.4756258234519104,2.102493074792244
2020-09-24,Ly_Kf,5.0,0.0,7.0,,207.0,15.0,135.0,2406760.221967655,207.0,0.05185185185185185,,0.0,0.024154589371980676,0.07246376811594203,0.6521739130434783,1.5333333333333334
2020-09-24,Ly_Kh,1.0,0.0,8.0,,874.0,14.0,471.0,2406760.221967655,874.0,0.016985138004246284,,0.0,0.0011441647597254005,0.016018306636155607,0.5389016018306636,1.8556263269639066
2020-09-24,Ly_Mb_Ma,2.0,0.0,0.0,,106.0,3.0,66.0,2406760.221967655,106.0,0.0,,0.0,0.018867924528301886,0.02830188679245283,0.6226415094339622,1.606060606060606
2020-09-24,Ly_Ms,15.0,0.0,7.0,,3069.0,66.0,761.0,2406760.221967655,3069.0,0.009198423127463863,,0.0,0.004887585532746823,0.021505376344086023,0.24796350602802217,4.032851511169514
2020-09-24,Ly_Nq_Zu,33.0,1.0,0.0,,291.0,6.0,65.0,2406760.221967655,291.0,0.0,,0.16666666666666666,0.1134020618556701,0.020618556701030927,0.22336769759450173,4.476923076923077
2020-09-24,Ly_Sb,2.0,0.0,22.0,,1200.0,44.0,1021.0,2406760.221967655,1200.0,0.021547502448579822,,0.0,0.0016666666666666668,0.03666666666666667,0.8508333333333333,1.1753183153770812
2020-09-24,Ly_Bw,33.0,0.0,17.0,,312.0,10.0,218.0,2406760.221967655,312.0,0.0779816513761468,,0.0,0.10576923076923077,0.03205128205128205,0.6987179487179487,1.4311926605504588
2020-09-24,Ly_St,0.0,0.0,0.0,,218.0,6.0,137.0,2406760.221967655,218.0,0.0,,0.0,0.0,0.027522935779816515,0.6284403669724771,1.5912408759124088
2020-09-24,Ly_Tb,317.0,0.0,382.0,,13586.0,20.0,7972.0,2406760.221967655,13586.0,0.0479177119919719,,0.0,0.023332842632121303,0.0014721036360959812,0.5867805093478581,1.7042147516307076
2020-09-24,Ly_Tb_Jn,35.0,0.0,0.0,,1093.0,1.0,435.0,2406760.221967655,1093.0,0.0,,0.0,0.03202195791399817,0.0009149130832570906,0.3979871912168344,2.5126436781609196
2020-09-24,Ly_Wa_Aj,7.0,0.0,0.0,,367.0,21.0,189.0,2406760.221967655,367.0,0.0,,0.0,0.01907356948228883,0.05722070844686648,0.5149863760217984,1.9417989417989419
2020-09-24,Ly_Jg_Zi,25.0,1.0,36.0,,1801.0,36.0,1135.0,2406760.221967655,1801.0,0.03171806167400881,,0.027777777777777776,0.0138811771238201,0.019988895058300944,0.6302054414214325,1.586784140969163
2020-09-24,Ly_Ja_By,0.0,0.0,0.0,,22.0,0.0,20.0,2406760.221967655,22.0,0.0,,,0.0,0.0,0.9090909090909091,1.1
